# Summary
file	blocks	japanese_runs
ADV.DAT	0xB6E60	262	鳬趺 | 裹裹跏鳬渧鳬鳬澵 | 澵趺裹裹裹裹裹裹裹裹裹裹裹裹裹褂淼 | 渧裹裹裄裹裹裹裹裹裹裹裹裹裹裹裹裹褂泚 | 碁淼跋
ADV.DAT	0xB9390	257	渣矣碌 | 礦蒿蓙跏 | 鮻蒿蒿蒿蒿蒿蒿蒿蒿蒿蒿蒿蒿蒿蒿跟諷 | 蒿蒿萵蒿蒿蒿蒿蒿蒿蒿蒿蒿蒿蒿蒿蒿蓙 | 苦鮻跋
ADV.DAT	0xBB940	197	鳬鳬鳬鰄 | 鱶趺跏趺褂 | 鋳着 | 娩鳬鵄 | 鳬魍
ADV.DAT	0xBE2C0	170	韋韋韋靱 | 韆跂跏跂肆 | 跣辮 | 鋳着 | 盤韋頡
ADV.DAT	0xC0C30	210	韋韋韋鞅 | 韆趾跏趾蓙 | 蓙謔 | 涛塘 | 勉韋頷
ADV.DAT	0xC3600	244	鳬鳬鳬鳬 | 鱸鉞鉗鉞跚鰀 | 跏靃 | 粡鮻 | 汚叡
ADV.DAT	0xC5F90	171	答聘 | 聽哽 | 櫢籟 | 魲聽聽聘聽郞 | 鞣粐粐
ADV.DAT	0xC88A0	178	痢贖 | 跏櫪 | 髙驎 | 硅鴪 | 矣鴟
ADV.DAT	0xCB230	113	別鏈 | 乢鏈 | 狡黍 | 惚惡 | 跏贅
ADV.DAT	0xCDA30	101	騨鷏 | 勁鷏 | 袤蠻 | 鉗鉗 | 碵猜瑾
ADV.DAT	0xD0230	121	蒿蒿葫 | 蒿莨 | 簔欣 | 鋳追鴆鱆 | 矮鞏
ADV.DAT	0xD2A20	303	鉗鉗 | 仁詐 | 鈔粭 | 櫤韵 | 鈔粐粭
ADV.DAT	0xD54F0	129	紫岷 | 册壅 | 侮紫 | 侮試蒔 | 戯紗
ADV.DAT	0xD79F0	145	恂悧 | ボリプ | 潟隆 | 釵蔟 | 冒瀞
ADV.DAT	0xD9F00	157	ン屹 | 血棍 | 児這 | 粕劵 | 穆嫉
ADV.DAT	0xDC480	156	滑沺 | 杉膚 | 封勁 | 艶刮ラ | 牧製
ADV.DAT	0xDEA30	157	鞄死 | 試蕩 | 尋柑 | 頌靏 | 水享
ADV.DAT	0xE1050	147	桾推 | 煤汐 | 服封服棍覆 | 泓淇 | 服棍桾推
ADV.DAT	0xE36E0	112	粕竣 | 蔔陬 | 晞靃 | 寳汲 | 桝樫
ADV.DAT	0xE5B20	213	涛渡 | 澵澵澵澵澵渼 | 澵澵澵澵澵 | 氿炅澵澵澵澵澵 | 胯遐
ADV.DAT	0xE7F90	123	覧春 | 銷遶 | 武朽 | 武給 | 蕈紊
ADV.DAT	0xEA3E0	144	椈椶 | ヮ資装芙 | 樣錞 | 棍椈 | 椶ジ
ADV.DAT	0xECBC0	254	棊緒女李 | 岔柆 | 桴円 | 演白 | 椦尢諸峙
ADV.DAT	0xEF3B0	243	尨孱 | 給拠粕軽 | 帶錂 | 屁尨 | 亟血
ADV.DAT	0xF1BC0	178	尓封屁 | 椛藻萩 | 帑鋿 | 尓屏 | 文赴
ADV.DAT	0xF43E0	139	鉗蒿 | 蒿葹 | 罫艮 | 鉈萬 | 屁屏
ADV.DAT	0xF6940	137	粲鉗粐粐 | 鉗鈔 | 籬籬 | 師廠 | 撈擂
ADV.DAT	0xF8ED0	121	摶椄 | 壕擶 | 田叟 | 麹壕 | 蝿壕墾
ADV.DAT	0xFB3F0	156	砒鴈 | 椁延 | 碯顥 | 鴿鉷 | 球虚
ADV.DAT	0xFD970	134	粐鉗炫 | 泄私 | 鉗瀨 | 喝竃 | 末末悛
ADV.DAT	0xFFED0	140	嚶麹酷囀 | 賍渫 | 撈撈撈擘 | 摶慢撈撈撈撈末摶擯 | 巳搗
ADV.DAT	0x102480	117	瑞訊 | 鴒釵 | 銷逾 | 櫁橳 | 亦滑
ADV.DAT	0x1048B0	139	囂緒 | 銹釋 | ゃ顥 | 銹逾 | 落閣
ADV.DAT	0x106D20	252	撕劔劑 | 剔叡 | 血倦封脚 | 晁錝 | 撈撕
ADV.DAT	0x109530	186	尢覧李 | 給試鋳革 | 屁覧 | 洄槢 | 隆頼
ADV.DAT	0x10BD00	95	驎餧 | 驎餧 | 囹囹 | 鳬鳬鴣 | 鳬鳬鳬
ADV.DAT	0x10E110	95	旃撈 | 撈穆 | 撈掉 | 撈撈 | 驎驎
ADV.DAT	0x110580	80	黠献 | 洄汯 | 汯浯浯 | 洄浯 | 浯橾瞎
ADV.DAT	0x112890	79	洄沆 | 浯浯 | 洄浯 | 蕣橫 | 鶸側
ADV.DAT	0x114BD0	84	洄洄汯汯浯浯 | 洄浯 | 悸淬懾 | 澵瀨瀨瀨 | 浯橾
ADV.DAT	0x116F80	65	褄瞞 | 渉叔 | 奬蛛 | 顥鎤飢 | 踞哺
ADV.DAT	0x119530	83	蓆蒭 | 茨釥 | 方艤 | 銹姫 | 崩鋧
ADV.DAT	0x11BAB0	78	裲獪 | 個憩 | 珥起 | 哈蠣 | 胯儔
ADV.DAT	0x11E040	78	竟聒 | 甘拡 | 聨信 | 鏞祁 | 銷抒
ADV.DAT	0x120590	71	酲考 | 霳酖 | 慕閤 | 酖醵値 | 葡筑
ADV.DAT	0x122B60	82	椡椏榲 | 篳畦 | 等椏 | 橫篆 | 楢芸
ADV.DAT	0x1251C0	73	擺摎 | 若鑈 | 給仝 | 撻核 | 賁史
ADV.DAT	0x127810	77	醉知 | ぁ氓 | び熙 | ぞ遅 | 衿知
ADV.DAT	0x129E70	91	洄桒 | 棍滑 | 椄條 | 梶服 | 鍗梶
ADV.DAT	0x12C150	88	洄桒 | 鏞巡 | 洄聽聽 | 桒寤 | 屁帙
ADV.DAT	0x12E460	84	済犁 | 澵澵 | 撈逐 | 澵澵韋瀇 | 濵靜誕
ADV.DAT	0x130890	78	諌犁 | 劔頚 | 剏血血 | 押囹 | 鉋釡
ADV.DAT	0x132CF0	87	湖犇 | 粕旬 | 拍緒緒小 | 亨惧 | 鉋釡
ADV.DAT	0x135110	92	沺秩 | 汳鋳鋳鯵 | 跟賍 | 僑汕 | 鸙跏跏
ADV.DAT	0x137550	95	驎餧 | 惧惧博 | 悒案 | 驎餧 | 莫惧惧允
ADV.DAT	0x139940	86	愨裡 | 惧悖 | 惧惧忖 | 惧惧悖 | 鵫鳬
ADV.DAT	0x13BC80	101	涸團 | 沺泪 | 沺沺毋 | 沺沺泪 | 沺沺泪
ADV.DAT	0x13DFC0	92	效撻 | 撈撻 | 撈撻 | 撈撈撻 | 撈撈撻
ADV.DAT	0x140300	95	仆丐 | 鳰鳬 | 祷田 | 鳬鳬鳬鳰 | 穢蕩
ADV.DAT	0x142640	88	肚聆 | 餧釚 | 照淑 | 擾鈆 | 嶼エ
ADV.DAT	0x144BB0	86	肚耿 | 幡バ | 潅核 | 奇釗 | 嶽エ
ADV.DAT	0x1471D0	80	擺摎 | 材閒 | 鯡耕 | 隯翅 | 鯊鰔楊
ADV.DAT	0x1497E0	90	窃榘 | 血ジ | 篶刃 | 橆籠 | 芹仁
ADV.DAT	0x14BEA0	86	瑣渧 | 煮盒 | 澵澵 | 撈早 | 澵澵鉗瀇
ADV.DAT	0x14E2C0	104	棍凍 | 椏涛涛恐炅 | 慈惧 | 跫贖 | 慈梛
ADV.DAT	0x150770	81	蒲洽 | 泓沃 | 洄沆 | 洄浯浯 | 洄浯
ADV.DAT	0x152B00	157	榧叡 | 樸榘弉 | 彼念 | 懶褄 | 裔孅
ADV.DAT	0x155080	94	呎昻 | 琥獎 | 杦絞 | 綬霳 | 錡呎
ADV.DAT	0x157660	149	釈晒 | 襄焄朿 | 橇褄 | 裝嗤 | 字兩
ADV.DAT	0x159BE0	152	幺榘扠 | 糜宏 | 罪宏 | 褻煜扠 | 晰褄
ADV.DAT	0x15C130	155	槃慧 | 茸瀟 | 隊前 | 裝搜 | 牴瑩蝪
